"","I","I","I","I","I","1","I","2","3","4","5","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","6","7","8","9","10","11","12","13","14","I","I","I","I","15","I","16","17","18","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I"
"D1","A","-","-","-","-","D","B","D","B","D","B","D","B","A","A","A","A","A","A","A","E","E","E","E","D","D","B","D","B","B","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","E","A","E","A","A","-","-","-","E","-","E","E","D","B","B","D","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","B","D","B","-"
"D2","-","-","-","-","-","D","B","D","B","D","B","D","B","D","B","A","A","A","A","A","A","A","E","E","E","E","D","D","B","B","E","A","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","E","A","A","A","-","-","-","-","E","-","E","D","D","B","B","B","D","B","D","B","D","B","A","A","E","E","E","E","D","D","B","B","B","D","B","D","B","-"
"D3","A","-","-","-","-","D","B","D","B","D","B","D","B","A","A","A","A","A","A","A","E","E","E","D","D","B","D","B","B","E","A","E","A","E","A","E","A","E","D","D","B","B","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","B","E","A","E","A","E","A","E","A","-","-","-","-","E","-","E","D","D","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","-","-","-","-","-","D","B","D","B","D","B","D","B","D","B","D","B","A","A","A","A","A","E","E","E","E","D","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","E","A","E","A","E","A","E","A","-","-","-","-","E","A","E","D","D","B","B","B","D","B","D","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","B"
"D5","A","-","-","-","-","D","B","D","B","D","B","D","B","D","B","D","B","D","B","A","A","A","A","E","E","E","E","D","D","B","B","E","A","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","E","A","A","A","-","-","-","-","E","-","E","D","D","B","B","B","D","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","D","B","-"
"D6","A","-","-","-","-","D","B","D","B","D","B","D","B","D","B","D","B","A","A","A","A","A","A","A","A","A","A","E","E","E","D","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","E","A","E","A","E","A","E","A","-","-","-","-","-","-","E","D","D","B","B","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","A","A","-","-","-","D","B","D","B","D","B","D","B","D","B","A","A","A","A","A","A","A","E","E","E","E","D","D","B","D","B","B","E","A","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","E","A","A","A","-","-","-","-","E","-","E","D","D","B","B","D","B","D","B","D","B","A","A","E","E","E","E","D","D","B","B","-","-","-","-","-","-","-"
"D8","-","-","-","-","-","D","B","D","B","D","B","D","B","D","B","A","A","A","A","A","A","A","A","E","E","E","E","D","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","E","A","E","A","E","A","E","A","-","-","-","-","E","A","E","D","D","B","B","B","D","B","D","B","D","B","A","A","E","E","E","E","D","D","B","B","E","A","E","A","E","A"
"D9","D","B","A","-","-","D","B","D","B","D","B","D","B","D","B","A","A","A","A","A","E","E","E","E","E","D","D","B","D","B","B","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","E","A","E","A","A","A","E","E","E","-","E","D","D","B","B","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S1","A","A","A","A","E","E","E","E","E","D","E","A","E","A","E","A","E","A","E","A","E","A","E","D","D","A","A","A","A","A","A","E","E","E","D","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","E","A","E","A","-","-","-","-","E","-","E","D","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
